date,La_Serena,Petorca,Quinta_Normal
1950-01-02,2.8717e-07,8.10738e-09,9.40706e-10
1950-01-03,8.40335e-08,2.48574e-09,6.61442e-13
1950-01-04,1.61567e-08,4.27756e-09,2.38119e-14
1950-01-05,2.24743e-08,1.42185e-08,3.24916e-10
1950-01-06,2.40052e-07,4.31108e-09,1.77576e-10
1950-01-07,7.43277e-07,2.13584e-08,1.16858e-11
1950-01-08,4.54667e-07,2.5037e-09,1.00095e-12
1950-01-09,1.83265e-07,7.89552e-09,7.36962e-12
1950-01-10,3.43356e-08,8.59483e-09,8.89227e-10
1950-01-11,2.55985e-07,2.67051e-08,7.13293e-07
1950-01-12,2.34641e-07,3.74641e-09,4.03248e-13
1950-01-13,2.45799e-07,1.74309e-09,1.9174e-09
1950-01-14,5.97849e-08,6.75929e-09,1.85221e-10
1950-01-15,1.23134e-07,7.35782e-09,2.09278e-13
1950-01-16,1.38991e-07,3.83197e-09,2.29534e-12
1950-01-17,1.32204e-07,3.0932e-09,8.70632e-12
1950-01-18,1.60477e-07,1.17458e-08,1.34881e-12
1950-01-19,1.16038e-07,3.2417e-10,4.74321e-15
1950-01-20,1.4706e-07,6.52123e-09,1.50049e-13
1950-01-21,2.39603e-08,3.07257e-09,2.68413e-10
1950-01-22,1.31613e-07,1.66416e-07,2.938e-07
1950-01-23,1.21797e-07,1.03866e-08,4.31062e-13
1950-01-24,1.1524e-07,3.13849e-07,1.37217e-08
1950-01-25,1.01614e-08,1.38527e-06,5.47234e-06
1950-01-26,1.5487e-07,1.31556e-08,2.74913e-11
1950-01-27,4.78209e-08,8.86291e-10,1.63716e-11
1950-01-28,9.86513e-11,8.01624e-10,1.27185e-09
1950-01-29,5.31725e-08,3.17654e-06,2.03558e-05
1950-01-30,2.27187e-07,9.0606e-10,8.76128e-14
1950-01-31,4.07888e-09,5.15429e-09,4.10109e-13
1950-02-01,8.63606e-08,1.22178e-08,7.46798e-15
1950-02-02,1.53045e-07,1.31908e-08,2.44571e-07
1950-02-03,6.58894e-08,4.47153e-08,1.11276e-08
1950-02-04,8.20345e-08,5.17518e-09,6.25692e-10
1950-02-05,3.03276e-07,4.59182e-07,1.67072e-08
1950-02-06,1.55872e-08,1.44223e-05,1.53753e-08
1950-02-07,9.63922e-09,1.78801e-06,4.98255e-06
1950-02-08,6.2769e-08,1.30947e-08,1.64924e-09
1950-02-09,2.01443e-08,5.79951e-09,2.86212e-09
1950-02-10,1.54429e-07,1.31437e-08,6.81913e-09
1950-02-11,1.15177e-07,4.29681e-08,7.21817e-09
1950-02-12,1.75212e-07,2.4221e-08,4.36616e-09
1950-02-13,3.10849e-08,3.38933e-08,1.98815e-06
1950-02-14,7.2064e-09,1.91012e-09,1.95967e-07
1950-02-15,2.08636e-08,8.43209e-08,8.86438e-08
1950-02-16,1.40915e-08,1.99979e-09,1.47011e-12
1950-02-17,3.89425e-08,8.13187e-10,5.69233e-09
1950-02-18,3.45549e-08,4.41002e-05,0.000197857
1950-02-19,1.66325e-08,4.19519e-08,1.94969e-13
1950-02-20,4.89685e-10,8.25841e-10,1.01302e-13
1950-02-21,6.47458e-10,7.28375e-09,7.02091e-10
1950-02-22,3.14418e-09,1.52044e-06,8.35897e-07
1950-02-23,1.07225e-08,3.13017e-08,6.20845e-10
1950-02-24,6.81368e-09,2.74262e-07,5.3669e-07
1950-02-25,2.90312e-09,6.34296e-09,2.17865e-08
1950-02-26,3.77276e-09,9.00854e-09,5.233e-14
1950-02-27,7.1996e-10,2.38042e-09,1.88699e-14
1950-02-28,1.3713e-09,2.19705e-09,1.65436e-14
1950-03-01,1.39237e-09,9.512e-11,4.03516e-14
1950-03-02,7.98838e-11,2.23499e-10,1.04818e-12
1950-03-03,1.17179e-08,3.17281e-11,1.57713e-12
1950-03-04,1.07149e-08,2.16038e-09,3.27524e-12
1950-03-05,9.73523e-10,1.15205e-08,1.96455e-12
1950-03-06,2.21385e-07,1.37882e-08,3.08571e-07
1950-03-07,9.02412e-08,2.28965e-10,3.01175e-08
1950-03-08,6.17268e-08,3.63433e-09,3.68025e-11
1950-03-09,7.26504e-09,3.90279e-09,1.59031e-13
1950-03-10,1.31541e-08,1.97719e-09,1.77699e-12
1950-03-11,1.20156e-08,2.00857e-09,4.02873e-14
1950-03-12,1.79364e-07,1.84523e-08,1.46887e-08
1950-03-13,3.97092e-07,4.91073e-09,6.23265e-10
1950-03-14,9.86103e-09,2.1892e-09,5.95728e-10
1950-03-15,3.02496e-07,1.20671e-08,9.30409e-09
1950-03-16,9.26093e-08,5.4018e-09,7.7066e-12
1950-03-17,4.9494e-08,1.31108e-07,3.04634e-06
1950-03-18,1.7421e-08,2.6868e-09,1.11577e-07
1950-03-19,3.27868e-07,7.99387e-09,5.6325e-10
1950-03-20,3.50188e-09,9.60593e-09,4.70185e-09
1950-03-21,1.29192e-07,5.75176e-09,1.64953e-12
1950-03-22,9.38485e-08,4.67884e-09,4.35263e-11
1950-03-23,1.04592e-10,1.6379e-10,2.56466e-12
1950-03-24,2.65277e-09,7.85456e-11,6.41382e-16
1950-03-25,5.07733e-09,4.26371e-09,1.5683e-13
1950-03-26,6.81135e-09,3.45724e-10,7.7067e-13
1950-03-27,5.51565e-10,3.15598e-09,1.02096e-12
1950-03-28,6.80418e-08,9.24443e-10,3.14654e-14
1950-03-29,2.67102e-10,1.38548e-11,5.26014e-14
1950-03-30,1.10045e-10,6.05783e-09,1.35647e-14
1950-03-31,4.41996e-10,6.32912e-09,2.92591e-13
1950-04-01,9.66176e-09,1.17678e-09,7.62364e-12
1950-04-02,1.1543e-08,1.10011e-08,7.69577e-12
1950-04-03,1.32635e-07,3.75394e-09,3.14273e-11
1950-04-04,1.15257e-08,7.89331e-09,1.01437e-09
1950-04-05,1.98102e-09,1.43347e-08,1.37161e-11
1950-04-06,3.59541e-11,5.10966e-10,2.56175e-13
1950-04-07,1.01098e-14,2.99027e-12,1.30516e-14
1950-04-08,1.9692e-10,1.13701e-10,2.31186e-12
1950-04-09,1.61198e-09,1.1907e-09,1.25109e-12
1950-04-10,8.72449e-09,9.27471e-10,9.06362e-10
1950-04-11,8.50783e-09,8.24635e-12,6.1235e-10
1950-04-12,8.91359e-10,8.40102e-15,1.88024e-14
1950-04-13,1.05166e-08,1.50271e-08,1.03437e-06
1950-04-14,1.94469e-07,1.7688e-06,4.3147e-05
1950-04-15,1.73183e-08,2.77762e-11,3.07034e-09
1950-04-16,1.05428e-10,2.04575e-10,3.44482e-13
1950-04-17,4.07846e-08,5.72584e-06,1.01834e-05
1950-04-18,1.8948e-08,1.95177e-05,0.00090188
1950-04-19,9.55633e-05,0.000597386,0.000755119
1950-04-20,0.000570095,0.000314449,0.000164073
1950-04-21,6.49788e-06,1.69957e-05,4.0872e-07
1950-04-22,2.20642e-06,2.89192e-09,7.32651e-08
1950-04-23,1.91704e-05,4.97909e-06,1.23496e-06
1950-04-24,5.10312e-12,1.76577e-10,3.65366e-11
1950-04-25,8.25745e-09,7.5775e-10,6.37373e-13
1950-04-26,2.72644e-08,9.58446e-07,1.61671e-11
1950-04-27,3.07699e-05,0.000101139,1.59621e-07
1950-04-28,6.93796e-08,4.13917e-05,0.000166947
1950-04-29,9.84379e-09,3.80654e-09,1.90879e-08
1950-04-30,3.84429e-07,1.3924e-05,8.12043e-06
1950-05-01,9.03352e-08,3.17283e-09,9.31116e-14
1950-05-02,2.46304e-08,3.20142e-13,1.54448e-13
1950-05-03,8.96967e-10,8.26631e-15,1.354e-15
1950-05-04,3.19609e-10,1.26188e-13,3.96392e-13
1950-05-05,5.05044e-14,3.6731e-14,4.85391e-14
1950-05-06,1.6089e-14,1.91317e-14,1.33311e-15
1950-05-07,8.21467e-09,3.0071e-15,8.3075e-15
1950-05-08,2.26934e-08,8.93633e-10,1.0248e-08
1950-05-09,5.42992e-07,3.02021e-08,5.2415e-10
1950-05-10,2.66108e-07,7.63233e-07,1.22957e-08
1950-05-11,1.32058e-07,5.47749e-09,1.88584e-13
1950-05-12,7.35043e-11,2.73489e-08,2.97736e-08
1950-05-13,1.34372e-09,2.45063e-08,1.34731e-07
1950-05-14,1.26423e-08,1.64972e-05,0.000397744
1950-05-15,1.22765e-07,0.000206475,0.000620346
1950-05-16,5.22237e-06,0.000273782,0.00065234
1950-05-17,6.03888e-07,0.000144946,0.000120976
1950-05-18,1.73878e-05,5.55763e-06,2.00551e-05
1950-05-19,5.3011e-10,3.8643e-13,6.52693e-08
1950-05-20,4.71265e-10,2.04968e-09,8.41179e-09
1950-05-21,2.19132e-10,3.55926e-08,2.10174e-07
1950-05-22,9.48866e-13,8.05731e-08,1.02463e-05
1950-05-23,1.61625e-10,8.68852e-09,3.1354e-06
1950-05-24,9.51037e-10,5.35973e-09,3.95923e-09
1950-05-25,8.24115e-08,1.78861e-08,6.32093e-08
1950-05-26,5.29049e-08,1.06871e-08,1.05805e-08
1950-05-27,9.92938e-08,4.48128e-06,2.42475e-06
1950-05-28,8.85088e-08,4.92953e-06,6.19681e-05
1950-05-29,0.000147269,0.000205831,0.000297153
1950-05-30,7.54834e-05,0.000112132,0.000217388
1950-05-31,1.02199e-08,8.44247e-07,2.30002e-07
1950-06-01,1.67387e-10,7.53259e-12,2.16988e-09
1950-06-02,2.00665e-10,3.54041e-07,3.05664e-06
1950-06-03,6.15328e-08,3.42538e-07,3.04918e-06
1950-06-04,7.34754e-08,1.05535e-09,3.9868e-12
1950-06-05,8.167e-15,4.00922e-15,5.83511e-15
1950-06-06,1.16063e-09,1.25321e-10,1.55301e-15
1950-06-07,2.98378e-07,2.11213e-08,0.000151192
1950-06-08,1.13052e-08,1.68162e-09,1.51406e-05
1950-06-09,7.50794e-07,1.30633e-06,1.91968e-05
1950-06-10,1.75943e-10,5.85214e-05,0.000361491
1950-06-11,1.974e-07,0.00016975,0.000497544
1950-06-12,7.90634e-08,1.74667e-11,8.5119e-08
1950-06-13,1.49072e-10,1.79545e-14,3.96997e-13
1950-06-14,1.27408e-08,9.12487e-08,3.88585e-06
1950-06-15,2.93414e-07,1.0216e-05,2.9641e-05
1950-06-16,0.000167419,0.000116265,8.00776e-05
1950-06-17,4.06535e-08,2.51481e-06,2.05888e-05
1950-06-18,2.10603e-09,5.39158e-06,5.13986e-05
1950-06-19,8.09988e-05,4.20745e-05,0.000774582
1950-06-20,0.000502594,0.0013696,0.00262537
1950-06-21,0.000739463,0.000573856,0.000500333
1950-06-22,7.10528e-08,4.02415e-09,1.08655e-13
1950-06-23,1.21324e-07,2.82821e-08,1.39498e-13
1950-06-24,4.33865e-11,1.14391e-11,1.582e-14
1950-06-25,4.15251e-09,9.40496e-07,2.15986e-05
1950-06-26,8.37364e-06,8.88362e-05,0.000280505
1950-06-27,1.27108e-09,1.29955e-12,2.59162e-13
1950-06-28,1.19989e-08,1.26693e-14,3.62715e-11
1950-06-29,3.3457e-06,0.000288797,0.000336325
1950-06-30,8.77688e-08,4.77933e-05,5.07899e-05
1950-07-01,3.61916e-14,3.03465e-08,2.71719e-08
1950-07-02,4.4033e-09,7.62354e-09,9.92718e-06
1950-07-03,6.54224e-14,1.1881e-13,2.01985e-14
1950-07-04,4.06889e-08,1.96148e-07,4.70235e-06
1950-07-05,9.51076e-07,1.82928e-05,8.81527e-05
1950-07-06,1.32646e-10,1.13983e-09,7.54931e-07
1950-07-07,4.65584e-15,2.69557e-08,2.04833e-07
1950-07-08,1.95717e-15,8.00679e-12,1.19708e-15
1950-07-09,3.57371e-15,9.77361e-15,8.92652e-16
1950-07-10,8.50095e-15,5.64276e-14,4.66207e-08
1950-07-11,4.84853e-15,4.79672e-14,5.9408e-07
1950-07-12,2.19337e-14,1.01302e-08,4.76336e-07
1950-07-13,4.78667e-14,4.72639e-14,3.91302e-14
1950-07-14,2.37492e-14,7.54768e-15,2.51366e-14
1950-07-15,1.31408e-14,9.19013e-15,3.57293e-14
1950-07-16,9.89739e-08,1.07661e-08,2.31765e-07
1950-07-17,1.61781e-08,5.00558e-09,4.99719e-09
1950-07-18,5.97074e-11,1.64099e-15,5.19092e-15
1950-07-19,7.67227e-16,1.78419e-14,6.15292e-13
1950-07-20,2.99432e-08,9.30117e-06,6.50681e-05
1950-07-21,1.65267e-07,7.59054e-05,0.000111948
1950-07-22,4.64749e-12,3.91823e-14,8.48787e-11
1950-07-23,4.6226e-09,1.12472e-09,6.51337e-12
1950-07-24,2.17658e-05,7.8426e-06,0.000135242
1950-07-25,0.000196197,0.000381665,0.000519735
1950-07-26,1.50832e-14,4.31069e-12,2.04941e-07
1950-07-27,1.18443e-09,4.33874e-09,9.29016e-08
1950-07-28,2.21683e-09,1.8057e-10,3.20969e-10
1950-07-29,1.79815e-07,1.19782e-05,4.38156e-05
1950-07-30,9.35256e-08,3.1271e-07,2.1277e-06
1950-07-31,4.02975e-09,1.51268e-09,2.73292e-08
1950-08-01,2.46728e-14,4.97318e-14,2.96618e-11
1950-08-02,2.54502e-09,2.34244e-09,1.66337e-14
1950-08-03,7.80489e-09,3.92837e-09,1.06545e-11
1950-08-04,7.0403e-09,1.90223e-07,6.25389e-07
1950-08-05,3.29194e-07,1.68707e-05,2.34576e-05
1950-08-06,3.8701e-05,0.000276608,0.000619928
1950-08-07,9.84007e-12,9.11525e-05,0.000100594
1950-08-08,1.93448e-10,3.1371e-14,1.79798e-07
1950-08-09,6.38504e-09,1.04883e-09,3.61472e-14
1950-08-10,1.59835e-08,8.69288e-09,1.65711e-07
1950-08-11,5.82842e-07,0.000295328,0.000472423
1950-08-12,1.01181e-07,2.13355e-06,1.58483e-05
1950-08-13,3.27916e-09,4.9885e-09,1.66458e-09
1950-08-14,1.22245e-09,2.36131e-10,5.32116e-09
1950-08-15,1.47781e-11,9.78842e-11,4.56165e-15
1950-08-16,6.68767e-09,5.45595e-09,7.19776e-08
1950-08-17,3.92927e-13,1.47875e-11,1.46936e-14
1950-08-18,1.8381e-15,7.56745e-15,5.16457e-16
1950-08-19,2.15876e-12,1.42121e-14,4.57944e-15
1950-08-20,1.90793e-06,5.06894e-07,4.61689e-06
1950-08-21,1.3529e-05,7.71865e-05,0.000207792
1950-08-22,4.38008e-09,8.56948e-09,2.60242e-06
1950-08-23,6.92436e-07,1.79711e-06,2.60973e-05
1950-08-24,3.58226e-06,0.000159028,0.000216116
1950-08-25,1.65625e-07,1.9262e-08,7.2384e-07
1950-08-26,1.54885e-11,3.62876e-11,1.10888e-13
1950-08-27,3.98318e-10,1.65681e-09,1.12008e-10
1950-08-28,7.40823e-09,6.77131e-09,5.54425e-08
1950-08-29,3.35939e-08,1.323e-10,1.6223e-13
1950-08-30,5.09969e-09,4.84385e-09,2.73166e-11
1950-08-31,8.21546e-09,1.57169e-09,3.93514e-09
1950-09-01,2.65891e-11,1.9796e-11,1.45352e-12
1950-09-02,2.97802e-10,5.36242e-09,4.58883e-13
1950-09-03,6.96449e-09,1.60517e-08,1.00943e-11
1950-09-04,6.17004e-09,4.47178e-09,3.48551e-10
1950-09-05,7.2887e-10,3.74244e-09,1.2944e-09
1950-09-06,4.26889e-08,1.67658e-09,1.04391e-09
1950-09-07,4.35607e-08,4.45757e-08,2.52352e-05
1950-09-08,2.29526e-08,5.82748e-09,0.000216636
1950-09-09,2.36347e-08,2.86378e-10,2.1862e-07
1950-09-10,1.83483e-08,1.66589e-14,7.24141e-10
1950-09-11,2.27821e-06,1.17739e-08,3.85126e-06
1950-09-12,8.92652e-07,1.26547e-05,0.000104746
1950-09-13,4.09169e-06,0.000111472,0.000330907
1950-09-14,1.77709e-10,6.52756e-05,0.000349832
1950-09-15,4.00661e-14,2.13922e-12,9.85415e-12
1950-09-16,9.38862e-09,4.77948e-05,0.000134907
1950-09-17,0.000113178,0.000745247,0.000975264
1950-09-18,2.058e-07,1.46807e-05,5.72517e-05
1950-09-19,2.72438e-13,4.67195e-10,3.73873e-13
1950-09-20,2.21464e-09,1.14424e-09,1.05297e-06
1950-09-21,3.39893e-05,0.000654071,0.000987524
1950-09-22,4.65343e-06,0.000150482,0.000256353
1950-09-23,2.12691e-10,8.50497e-09,5.47617e-05
1950-09-24,3.93341e-14,2.51176e-11,1.2049e-08
1950-09-25,1.46766e-08,1.13319e-09,1.82491e-06
1950-09-26,5.25754e-08,1.12243e-08,4.03116e-05
1950-09-27,4.87086e-08,6.1065e-09,4.32977e-08
1950-09-28,2.08607e-06,0.000145246,8.96903e-05
1950-09-29,6.16975e-05,0.000174902,0.000171259
1950-09-30,9.81271e-06,0.000125377,0.000239913
1950-10-01,1.3568e-07,7.58974e-08,2.32178e-06
1950-10-02,4.40251e-07,4.54144e-09,9.95432e-08
1950-10-03,2.7819e-06,1.51119e-07,6.18605e-09
1950-10-04,1.73929e-08,5.05237e-07,1.66975e-07
1950-10-05,2.92629e-10,9.35405e-10,6.95504e-08
1950-10-06,4.84714e-11,3.60165e-09,1.90251e-07
1950-10-07,1.96788e-13,2.63079e-09,2.98697e-08
1950-10-08,8.09586e-08,1.70954e-08,5.63657e-09
1950-10-09,1.49179e-08,7.30061e-09,7.252e-07
1950-10-10,1.24038e-08,3.5214e-10,4.561e-15
1950-10-11,1.46985e-08,5.31091e-09,5.54774e-14
1950-10-12,5.03981e-08,2.43916e-07,2.02121e-08
1950-10-13,3.40166e-07,1.21042e-09,3.51106e-09
1950-10-14,5.59029e-07,1.07542e-08,5.75631e-08
1950-10-15,4.84062e-08,5.65989e-09,3.23936e-09
1950-10-16,2.37619e-10,1.66785e-09,1.96658e-12
1950-10-17,2.07968e-07,1.09483e-08,1.20505e-08
1950-10-18,8.98146e-08,1.32262e-08,1.57478e-07
1950-10-19,9.6674e-08,1.67393e-08,3.16751e-07
1950-10-20,2.10539e-09,5.00924e-10,6.47595e-12
1950-10-21,7.14832e-10,1.23336e-09,1.07829e-06
1950-10-22,7.74557e-09,2.03094e-10,1.49214e-06
1950-10-23,9.82155e-09,1.21631e-09,4.32792e-10
1950-10-24,1.90805e-10,1.23359e-08,1.15368e-05
1950-10-25,3.05093e-07,7.85439e-07,1.90306e-06
1950-10-26,2.88565e-07,1.43994e-08,3.77431e-06
1950-10-27,3.58076e-10,2.91014e-06,1.49647e-06
1950-10-28,1.87521e-08,5.84871e-07,1.07893e-10
1950-10-29,3.79772e-10,8.61167e-10,5.13621e-15
1950-10-30,1.1327e-08,3.93799e-09,1.18448e-06
1950-10-31,9.78283e-08,7.8277e-09,1.35341e-09
1950-11-01,6.81162e-08,4.4316e-09,7.50911e-10
1950-11-02,2.88263e-08,1.63839e-07,8.44083e-09
1950-11-03,1.48787e-09,4.71567e-09,3.50577e-09
1950-11-04,1.3916e-08,2.75372e-09,7.47768e-13
1950-11-05,3.15607e-09,5.33313e-09,2.62778e-09
1950-11-06,3.98922e-07,1.42174e-06,5.08158e-07
1950-11-07,2.21846e-07,1.39805e-08,6.71256e-08
1950-11-08,1.49416e-07,4.53402e-07,1.16127e-06
1950-11-09,1.30376e-08,3.64257e-09,2.22544e-09
1950-11-10,1.2504e-08,2.86858e-05,6.24481e-05
1950-11-11,2.12967e-07,1.08377e-05,1.14801e-05
1950-11-12,1.62845e-07,8.84787e-09,1.15352e-10
1950-11-13,5.91875e-08,2.79873e-06,6.41057e-06
1950-11-14,1.49967e-08,1.46609e-08,6.53464e-08
1950-11-15,2.01066e-08,9.66119e-10,1.94769e-11
1950-11-16,4.02318e-07,1.01072e-08,6.91027e-08
1950-11-17,2.95375e-08,2.14775e-07,1.74018e-09
1950-11-18,6.00971e-07,3.53523e-08,4.54894e-11
1950-11-19,1.59491e-07,3.08646e-06,8.21869e-06
1950-11-20,3.33968e-07,1.0246e-08,1.35804e-10
1950-11-21,2.05491e-07,8.11655e-07,5.71238e-10
1950-11-22,2.35429e-07,9.60119e-06,2.0677e-05
1950-11-23,2.57484e-08,3.26152e-06,1.05507e-05
1950-11-24,1.09296e-07,3.40784e-08,6.43288e-08
1950-11-25,5.21511e-08,3.56779e-09,5.67067e-08
1950-11-26,1.69657e-09,2.04321e-09,5.91696e-12
1950-11-27,2.96392e-07,5.17359e-06,1.85649e-05
1950-11-28,2.94693e-07,6.09538e-06,4.83525e-05
1950-11-29,3.96443e-09,2.46658e-06,5.69361e-05
1950-11-30,3.4691e-09,1.8613e-06,1.91856e-05
1950-12-01,1.82875e-08,5.14732e-11,2.97986e-13
1950-12-02,8.86284e-08,2.15559e-09,6.50126e-10
1950-12-03,2.47992e-07,7.22405e-09,4.95664e-08
1950-12-04,1.80042e-07,2.07567e-08,3.80902e-08
1950-12-05,2.96593e-09,8.97226e-10,1.84053e-11
1950-12-06,6.64002e-07,1.54564e-05,1.27011e-05
1950-12-07,1.16911e-07,1.19335e-06,1.47426e-06
1950-12-08,1.15574e-07,1.27378e-08,3.1655e-08
1950-12-09,2.53889e-09,6.25614e-09,1.89642e-12
1950-12-10,1.37863e-08,8.32941e-09,3.92142e-11
1950-12-11,5.219e-07,2.22441e-08,6.64433e-13
1950-12-12,2.17706e-07,1.24773e-10,5.84068e-13
1950-12-13,1.33461e-08,2.46776e-08,3.21837e-07
1950-12-14,2.15894e-08,1.60213e-08,1.21637e-10
1950-12-15,8.17206e-10,1.93799e-09,5.38905e-13
1950-12-16,2.00911e-08,1.14314e-08,2.38944e-08
1950-12-17,3.25416e-08,1.3396e-08,2.13297e-13
1950-12-18,8.30485e-08,1.80093e-08,1.29014e-09
1950-12-19,3.02792e-08,1.69672e-08,1.29115e-10
1950-12-20,3.27826e-07,1.30752e-08,2.25995e-11
1950-12-21,1.7643e-08,3.67823e-09,3.76717e-09
1950-12-22,5.73269e-08,4.08601e-09,2.36251e-09
1950-12-23,6.06185e-09,1.62784e-10,7.48006e-15
1950-12-24,1.24211e-07,4.21063e-09,2.637e-12
1950-12-25,1.72589e-07,2.11531e-09,1.7788e-13
1950-12-26,1.84268e-07,1.96138e-09,1.29729e-10
1950-12-27,1.07689e-07,3.91749e-09,1.77832e-11
1950-12-28,8.00759e-08,1.17937e-09,4.72845e-12
1950-12-29,1.42427e-07,3.24778e-06,3.97201e-07
1950-12-30,7.53863e-08,1.19018e-06,1.23032e-05
1950-12-31,6.40325e-08,6.90855e-06,3.69563e-07
